model,activation,dropout,epochs,batch_size,train_loss,train_acc,test_loss,test_acc,gap,fit_time_s
Mish,mish,0.0,60,32,0.19312462210655212,0.9299833178520203,0.3508601784706116,0.8794999718666077,0.0504833459854126,123.55401850000635
ReLU+Drop0.2,relu,0.2,60,32,0.19940626621246338,0.9265000224113464,0.31488391757011414,0.8906999826431274,0.035800039768218994,123.45394160000433
ReLU+Drop0.4,relu,0.4,60,32,0.26060643792152405,0.9052833318710327,0.3224314749240875,0.8858000040054321,0.019483327865600586,123.44471570000314
ReLU+Drop0.5,relu,0.5,60,32,0.2977260947227478,0.8931833505630493,0.3296329081058502,0.8831999897956848,0.009983360767364502,124.42292639999505
ReLU+Drop0.6,relu,0.6,60,32,0.3355700373649597,0.8802833557128906,0.3436076045036316,0.8806999921798706,-0.00041663646697998047,123.99905459999718
ReLU+Drop0.7,relu,0.7,60,32,0.403518944978714,0.8600833415985107,0.36380064487457275,0.8687999844551086,-0.0087166428565979,126.27021319999767
ReLU+Drop0.8,relu,0.8,60,32,0.5778940916061401,0.797950029373169,0.454226553440094,0.8446000218391418,-0.0466499924659729,126.68176320000202
Sigmoid,sigmoid,0.0,60,64,0.41996100544929504,0.8507000207901001,0.4580201804637909,0.8367999792098999,0.013900041580200195,84.991532
ReLU,relu,0.0,60,64,0.20998382568359375,0.9260333180427551,0.3703751564025879,0.8698999881744385,0.05613332986831665,77.80906709999545
ReLU+Dropout,relu,0.3,60,64,0.2771429419517517,0.8994333148002625,0.32637906074523926,0.8830999732017517,0.016333341598510742,80.87544929999422
GELU,gelu,0.0,60,64,0.2456611692905426,0.9109333157539368,0.38607344031333923,0.8657000064849854,0.045233309268951416,82.2147810000024
Mish,mish,0.0,60,64,0.2546631395816803,0.9082333445549011,0.3740634620189667,0.8672000169754028,0.04103332757949829,89.43158019999828
ReLU+Drop0.9,relu,0.9,60,32,1.2418622970581055,0.48098334670066833,0.9671850800514221,0.6248000264167786,-0.14381667971611023,133.77116789999855
ReLU+Drop0.1,relu,0.1,60,64,0.2349289208650589,0.9158333539962769,0.3283942639827728,0.8840000033378601,0.03183335065841675,84.88410499999736
ReLU+Drop0.2,relu,0.2,60,64,0.2566673755645752,0.9069833159446716,0.32195496559143066,0.8838000297546387,0.02318328619003296,86.0269518999994
ReLU+Drop0.4,relu,0.4,60,64,0.3025592565536499,0.8911166787147522,0.33143651485443115,0.8820000290870667,0.009116649627685547,83.74292730000161
ReLU+Drop0.5,relu,0.5,60,64,0.3416994512081146,0.8791000247001648,0.3436795771121979,0.878000020980835,0.001100003719329834,83.00322920000326
ReLU+Drop0.6,relu,0.6,60,64,0.3722341060638428,0.8693000078201294,0.3601929545402527,0.8726000189781189,-0.003300011157989502,82.65356579999934
ReLU+Drop0.7,relu,0.7,60,64,0.43283000588417053,0.8512666821479797,0.37703365087509155,0.8664000034332275,-0.015133321285247803,82.13783179999882
Sigmoid,sigmoid,0.0,60,128,0.48924216628074646,0.8271999955177307,0.516223669052124,0.8133000135421753,0.01389998197555542,54.23234599999705
ReLU,relu,0.0,60,128,0.2748073637485504,0.9022499918937683,0.3746388554573059,0.8669000267982483,0.03534996509552002,52.2772324999969
ReLU+Dropout,relu,0.3,60,128,0.33761051297187805,0.8797500133514404,0.35022395849227905,0.8751000165939331,0.004649996757507324,54.94046179999714
ReLU+Drop0.8,relu,0.8,60,64,0.6060686111450195,0.784600019454956,0.4742467403411865,0.8418999910354614,-0.05729997158050537,83.40353319999849
ReLU+Drop0.9,relu,0.9,60,64,1.047420620918274,0.5806999802589417,0.7590639591217041,0.7055000066757202,-0.12480002641677856,84.45694709999952
GELU,gelu,0.0,60,128,0.3022943139076233,0.8915500044822693,0.39508843421936035,0.8621000051498413,0.02944999933242798,54.459435400000075
Mish,mish,0.0,60,128,0.30806970596313477,0.8901833295822144,0.38654765486717224,0.8636999726295471,0.026483356952667236,59.649681599999894
