model,activation,dropout,epochs,batch_size,train_loss,train_acc,test_loss,test_acc,gap,fit_time_s
Sigmoid,sigmoid,0.0,70,16384,2.2226784229278564,0.5219833254814148,2.2224080562591553,0.5177000164985657,0.004283308982849121,31.35563009999896
Sigmoid,sigmoid,0.0,80,256,0.5443568229675293,0.8046000003814697,0.566912829875946,0.7973999977111816,0.007200002670288086,53.21894099999918
Sigmoid,sigmoid,0.0,70,32,0.3461892306804657,0.8763499855995178,0.39861494302749634,0.8596000075340271,0.016749978065490723,157.84837170000537
Sigmoid,sigmoid,0.0,80,512,0.6743950247764587,0.7580000162124634,0.6891078352928162,0.7512999773025513,0.006700038909912109,41.804600700001174
Sigmoid,sigmoid,0.0,80,128,0.45509299635887146,0.8394333124160767,0.48583871126174927,0.8248999714851379,0.01453334093093872,71.36399419999361
Sigmoid,sigmoid,0.0,80,2048,1.2965173721313477,0.6633666753768921,1.2970049381256104,0.6571999788284302,0.006166696548461914,40.2632964000004
Sigmoid,sigmoid,0.0,80,1024,0.8889307379722595,0.7274166941642761,0.8953284025192261,0.7207000255584717,0.006716668605804443,42.655102899996564
Sigmoid,sigmoid,0.0,80,4096,1.777840495109558,0.5811499953269958,1.7744241952896118,0.5838000178337097,-0.002650022506713867,39.68270670000493
Sigmoid,sigmoid,0.0,80,64,0.3916339576244354,0.8602833151817322,0.4344278872013092,0.8445000052452087,0.015783309936523438,116.56203310000274
Sigmoid,sigmoid,0.0,80,8192,2.0911753177642822,0.569016695022583,2.089965581893921,0.5715000033378601,-0.0024833083152770996,39.03762170000118
Sigmoid,sigmoid,0.0,80,16384,2.2082784175872803,0.5299500226974487,2.207942485809326,0.5200999975204468,0.009850025177001953,35.7460671000008
Sigmoid,sigmoid,0.0,90,256,0.5226585268974304,0.81454998254776,0.5448166728019714,0.8039000034332275,0.01064997911453247,60.03292290000536
Sigmoid,sigmoid,0.0,80,32,0.3366033732891083,0.8798166513442993,0.39350780844688416,0.8600000143051147,0.01981663703918457,182.95637619999616
Sigmoid,sigmoid,0.0,90,512,0.6480323672294617,0.7657833099365234,0.6628662347793579,0.7599999904632568,0.0057833194732666016,46.991696799996134
Sigmoid,sigmoid,0.0,90,128,0.4416164755821228,0.8439000248908997,0.47565245628356934,0.8299999833106995,0.013900041580200195,80.9888906000051
Sigmoid,sigmoid,0.0,90,1024,0.850506067276001,0.7243499755859375,0.859238862991333,0.7156999707221985,0.008650004863739014,47.43223050000233
Sigmoid,sigmoid,0.0,90,2048,1.1706470251083374,0.6728000044822693,1.173206090927124,0.6657999753952026,0.00700002908706665,45.00595279999834
Sigmoid,sigmoid,0.0,90,4096,1.7126377820968628,0.5847333073616028,1.710445523262024,0.5888000130653381,-0.0040667057037353516,44.38090690000536
Sigmoid,sigmoid,0.0,90,64,0.3808693289756775,0.8644999861717224,0.4261234402656555,0.8481000065803528,0.01639997959136963,129.60679649999656
Sigmoid,sigmoid,0.0,90,8192,2.0762174129486084,0.5424500107765198,2.0748963356018066,0.546500027179718,-0.004050016403198242,43.38328560000082
Sigmoid,sigmoid,0.0,90,16384,2.186864137649536,0.475683331489563,2.1865503787994385,0.4724000096321106,0.0032833218574523926,40.2716866999981
Sigmoid,sigmoid,0.0,100,256,0.5102555751800537,0.8188666701316833,0.5363792777061462,0.8061000108718872,0.012766659259796143,66.67289739999978
Sigmoid,sigmoid,0.0,90,32,0.3267844319343567,0.8841166496276855,0.38821953535079956,0.8618999719619751,0.02221667766571045,208.22163649999857
Sigmoid,sigmoid,0.0,100,512,0.6258986592292786,0.7727333307266235,0.641028881072998,0.7657999992370605,0.006933331489562988,52.11086249999789
Sigmoid,sigmoid,0.0,100,128,0.43269237875938416,0.8464499711990356,0.46760693192481995,0.8317999839782715,0.01464998722076416,89.36404559999937
Sigmoid,sigmoid,0.0,100,1024,0.8152974247932434,0.7268000245094299,0.8240334987640381,0.7199000120162964,0.006900012493133545,53.179496200005815
Sigmoid,sigmoid,0.0,100,2048,1.1317285299301147,0.6710000038146973,1.1343446969985962,0.6647999882698059,0.006200015544891357,50.93161830000463
Sigmoid,sigmoid,0.0,100,4096,1.6463499069213867,0.5788666605949402,1.6438841819763184,0.5824999809265137,-0.0036333203315734863,49.79342819999874
Sigmoid,sigmoid,0.0,100,64,0.37321457266807556,0.8668000102043152,0.4201120138168335,0.8497999906539917,0.017000019550323486,144.26062110000203
Sigmoid,sigmoid,0.0,100,8192,2.069023370742798,0.5832833051681519,2.0677385330200195,0.5795000195503235,0.003783285617828369,48.89288800000213
Sigmoid,sigmoid,0.0,100,16384,2.204423189163208,0.47121667861938477,2.2042312622070312,0.4659999907016754,0.005216687917709351,42.78361269999732
Sigmoid,sigmoid,0.0,100,32,0.31770941615104675,0.88673335313797,0.3801431655883789,0.8657000064849854,0.02103334665298462,215.14305749999767
